Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:44
Smoke Detector,5.072,0.129,1.290,6.5409,2024-11-23 22:12:45
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:46
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:47
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:48
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:49
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:12:50
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:51
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:52
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:53
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:54
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:12:55
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:12:56
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:12:57
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:12:58
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:12:59
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:00
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:01
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:02
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:03
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:04
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:05
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:06
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:07
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:08
Smoke Detector,5.072,0.151,1.514,7.6770,2024-11-23 22:13:09
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:10
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:11
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:12
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:13
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:14
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:15
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:16
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:13:17
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:18
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:19
Smoke Detector,5.040,0.186,1.862,9.3865,2024-11-23 22:13:20
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:21
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:22
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:23
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:24
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:25
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:26
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:27
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:28
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:29
Smoke Detector,5.040,0.186,1.862,9.3865,2024-11-23 22:13:31
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:31
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:32
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:33
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:34
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:35
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:36
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:37
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:38
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:39
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:40
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:41
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:42
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:43
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:44
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:45
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:46
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:47
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:48
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:49
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:51
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:52
Smoke Detector,5.072,0.130,1.299,6.5895,2024-11-23 22:13:53
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:54
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:55
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:56
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:13:57
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:58
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:13:59
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:00
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:01
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:02
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:03
Smoke Detector,5.040,0.186,1.862,9.3865,2024-11-23 22:14:04
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:05
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:06
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:07
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:08
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:09
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:10
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:11
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:12
Smoke Detector,5.064,0.127,1.270,6.4333,2024-11-23 22:14:13
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:14
Smoke Detector,5.040,0.131,1.309,6.5964,2024-11-23 22:14:15
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:16
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:17
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:18
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:19
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:20
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:21
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:22
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:23
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:24
Smoke Detector,5.040,0.127,1.270,6.4028,2024-11-23 22:14:25
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:26
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:27
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:28
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:29
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:30
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:31
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:32
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:33
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:34
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:35
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:36
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:37
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:38
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:39
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:40
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:41
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:42
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:43
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:44
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:45
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:46
Smoke Detector,5.040,0.186,1.856,9.3542,2024-11-23 22:14:47
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:48
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:49
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:50
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:51
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:14:52
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:53
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:54
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:55
Smoke Detector,5.064,0.127,1.267,6.4171,2024-11-23 22:14:56
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:57
Smoke Detector,5.040,0.146,1.456,7.3382,2024-11-23 22:14:58
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:14:59
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:00
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:15:01
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:02
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:03
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:04
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:15:05
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:06
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:07
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:08
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:09
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:10
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:11
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:12
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:13
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:14
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:15
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:16
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:17
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:18
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:19
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:20
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:21
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:22
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:23
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:24
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:25
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:26
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:27
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:28
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:29
Smoke Detector,5.040,0.184,1.837,9.2575,2024-11-23 22:15:30
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:15:31
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:15:32
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:33
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:34
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:35
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:36
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:37
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:38
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:39
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:40
Smoke Detector,5.040,0.164,1.635,8.2414,2024-11-23 22:15:41
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:15:42
Smoke Detector,5.072,0.123,1.232,6.2487,2024-11-23 22:15:43
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:15:44
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:45
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:46
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:47
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:48
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:15:49
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:50
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:51
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:52
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:53
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:54
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:55
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:15:56
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:57
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:58
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:15:59
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:00
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:01
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:02
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:16:03
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:04
Smoke Detector,5.072,0.129,1.290,6.5409,2024-11-23 22:16:05
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:16:06
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:16:07
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:08
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:09
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:10
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:11
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:12
Smoke Detector,5.040,0.184,1.840,9.2736,2024-11-23 22:16:13
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:14
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:15
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:16:16
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:17
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:16:18
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:16:19
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:20
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:21
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:22
Smoke Detector,5.072,0.125,1.248,6.3299,2024-11-23 22:16:23
Smoke Detector,5.040,0.177,1.773,8.9349,2024-11-23 22:16:24
Smoke Detector,5.072,0.124,1.242,6.2974,2024-11-23 22:16:25
Smoke Detector,5.072,0.125,1.248,6.3299,2024-11-23 22:16:26
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:27
Smoke Detector,5.072,0.124,1.245,6.3136,2024-11-23 22:16:28
Smoke Detector,5.072,0.124,1.245,6.3136,2024-11-23 22:16:29
Smoke Detector,5.040,0.183,1.830,9.2252,2024-11-23 22:16:30
Smoke Detector,5.072,0.127,1.270,6.4435,2024-11-23 22:16:31
Smoke Detector,5.072,0.124,1.245,6.3136,2024-11-23 22:16:32
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:16:33
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:34
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:35
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:36
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:37
Smoke Detector,5.072,0.124,1.245,6.3136,2024-11-23 22:16:38
Smoke Detector,5.072,0.124,1.235,6.2649,2024-11-23 22:16:39
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:40
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:41
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:42
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:43
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:44
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:16:45
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:46
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:47
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:48
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:49
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:50
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:51
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:52
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:53
Smoke Detector,5.072,0.125,1.251,6.3461,2024-11-23 22:16:54
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:55
Smoke Detector,5.040,0.180,1.805,9.0962,2024-11-23 22:16:56
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:57
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:58
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:16:59
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:17:00
Smoke Detector,5.072,0.125,1.254,6.3623,2024-11-23 22:17:01
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:02
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:03
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:04
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:05
Smoke Detector,5.072,0.140,1.395,7.0765,2024-11-23 22:17:06
Smoke Detector,5.040,0.186,1.859,9.3704,2024-11-23 22:17:07
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:08
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:09
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:10
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:12
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:13
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:14
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:15
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:16
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:17
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:18
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:19
Smoke Detector,5.072,0.127,1.267,6.4272,2024-11-23 22:17:20
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:21
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:22
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:23
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:24
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:25
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:26
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:27
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:28
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:29
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:30
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:31
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:32
Smoke Detector,5.072,0.126,1.264,6.4110,2024-11-23 22:17:33
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:17:34
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:35
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:36
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:37
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:38
Smoke Detector,5.072,0.126,1.261,6.3948,2024-11-23 22:17:39
