Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Thermostat,5.144,0.161,1.606,8.2633,2024-11-23 22:15:28
Thermostat,5.144,0.171,1.712,8.8065,2024-11-23 22:15:29
Thermostat,5.144,0.170,1.702,8.7571,2024-11-23 22:15:30
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:31
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:32
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:33
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:15:34
Thermostat,5.176,0.079,0.790,4.0911,2024-11-23 22:15:35
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:15:36
Thermostat,5.144,0.195,1.946,10.0082,2024-11-23 22:15:37
Thermostat,5.144,0.173,1.728,8.8888,2024-11-23 22:15:38
Thermostat,5.152,0.157,1.568,8.0783,2024-11-23 22:15:39
Thermostat,5.144,0.156,1.562,8.0329,2024-11-23 22:15:40
Thermostat,5.152,0.157,1.571,8.0948,2024-11-23 22:15:41
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:15:42
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:43
Thermostat,5.160,0.123,1.232,6.3571,2024-11-23 22:15:44
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:15:45
Thermostat,5.144,0.160,1.600,8.2304,2024-11-23 22:15:46
Thermostat,5.144,0.167,1.667,8.5761,2024-11-23 22:15:47
Thermostat,5.144,0.156,1.562,8.0329,2024-11-23 22:15:48
Thermostat,5.168,0.097,0.970,5.0109,2024-11-23 22:15:49
Thermostat,5.152,0.157,1.571,8.0948,2024-11-23 22:15:50
Thermostat,5.144,0.156,1.565,8.0493,2024-11-23 22:15:51
Thermostat,5.160,0.096,0.963,4.9701,2024-11-23 22:15:52
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:53
Thermostat,5.168,0.099,0.992,5.1267,2024-11-23 22:15:54
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:15:55
Thermostat,5.144,0.166,1.661,8.5432,2024-11-23 22:15:56
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:57
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:58
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:15:59
Thermostat,5.144,0.154,1.536,7.9012,2024-11-23 22:16:00
Thermostat,5.152,0.156,1.562,8.0454,2024-11-23 22:16:01
Thermostat,5.152,0.165,1.651,8.5070,2024-11-23 22:16:02
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:03
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:04
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:05
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:06
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:07
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:08
Thermostat,5.168,0.099,0.992,5.1267,2024-11-23 22:16:09
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:16:10
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:16:11
Thermostat,5.144,0.157,1.571,8.0823,2024-11-23 22:16:12
Thermostat,5.144,0.168,1.683,8.6584,2024-11-23 22:16:13
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:14
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:15
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:16
Thermostat,5.160,0.123,1.229,6.3406,2024-11-23 22:16:17
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:16:18
Thermostat,5.144,0.157,1.574,8.0987,2024-11-23 22:16:19
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:20
Thermostat,5.168,0.157,1.574,8.1365,2024-11-23 22:16:21
Thermostat,5.152,0.157,1.568,8.0783,2024-11-23 22:16:22
Thermostat,5.144,0.157,1.571,8.0823,2024-11-23 22:16:23
Thermostat,5.168,0.101,1.011,5.2259,2024-11-23 22:16:24
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:16:25
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:26
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:27
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:28
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:29
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:30
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:31
Thermostat,5.176,0.079,0.790,4.0911,2024-11-23 22:16:32
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:16:33
Thermostat,5.136,0.165,1.654,8.4970,2024-11-23 22:16:34
Thermostat,5.152,0.097,0.970,4.9954,2024-11-23 22:16:35
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:36
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:37
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:38
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:39
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:16:40
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:41
Thermostat,5.144,0.171,1.712,8.8065,2024-11-23 22:16:42
Thermostat,5.144,0.157,1.571,8.0823,2024-11-23 22:16:43
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:44
Thermostat,5.152,0.157,1.568,8.0783,2024-11-23 22:16:45
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:46
Thermostat,5.168,0.107,1.069,5.5236,2024-11-23 22:16:47
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:16:48
Thermostat,5.144,0.156,1.562,8.0329,2024-11-23 22:16:49
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:50
Thermostat,5.176,0.096,0.960,4.9690,2024-11-23 22:16:51
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:52
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:16:53
Thermostat,5.168,0.102,1.018,5.2590,2024-11-23 22:16:54
Thermostat,5.152,0.141,1.408,7.2540,2024-11-23 22:16:55
Thermostat,5.152,0.159,1.590,8.1937,2024-11-23 22:16:56
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:16:57
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:58
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:16:59
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:00
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:01
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:02
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:04
Thermostat,5.168,0.147,1.472,7.6073,2024-11-23 22:17:05
Thermostat,5.152,0.154,1.539,7.9300,2024-11-23 22:17:06
Thermostat,5.152,0.144,1.437,7.4024,2024-11-23 22:17:07
Thermostat,5.152,0.154,1.542,7.9464,2024-11-23 22:17:08
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:09
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:10
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:11
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:12
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:13
Thermostat,5.128,0.205,2.054,10.5350,2024-11-23 22:17:14
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:17:15
Thermostat,5.144,0.168,1.683,8.6584,2024-11-23 22:17:16
Thermostat,5.144,0.156,1.565,8.0493,2024-11-23 22:17:17
Thermostat,5.152,0.156,1.565,8.0618,2024-11-23 22:17:18
Thermostat,5.144,0.105,1.050,5.3991,2024-11-23 22:17:19
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:20
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:21
Thermostat,5.176,0.079,0.787,4.0745,2024-11-23 22:17:22
Thermostat,5.152,0.141,1.408,7.2540,2024-11-23 22:17:23
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:24
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:25
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:26
Thermostat,5.144,0.156,1.565,8.0493,2024-11-23 22:17:27
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:17:28
Thermostat,5.160,0.124,1.242,6.4067,2024-11-23 22:17:29
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:17:30
Thermostat,5.136,0.166,1.658,8.5134,2024-11-23 22:17:31
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:32
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:33
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:34
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:35
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:36
Thermostat,5.160,0.123,1.232,6.3571,2024-11-23 22:17:37
Thermostat,5.152,0.175,1.754,9.0345,2024-11-23 22:17:38
Thermostat,5.136,0.191,1.907,9.7954,2024-11-23 22:17:39
Thermostat,5.144,0.156,1.558,8.0164,2024-11-23 22:17:40
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:41
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:42
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:43
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:44
Thermostat,5.152,0.141,1.408,7.2540,2024-11-23 22:17:45
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:46
Thermostat,5.144,0.159,1.587,8.1646,2024-11-23 22:17:47
Thermostat,5.144,0.169,1.690,8.6913,2024-11-23 22:17:48
Thermostat,5.144,0.166,1.661,8.5432,2024-11-23 22:17:49
Thermostat,5.144,0.159,1.594,8.1975,2024-11-23 22:17:50
Thermostat,5.152,0.156,1.562,8.0454,2024-11-23 22:17:51
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:52
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:17:53
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:54
Thermostat,5.160,0.123,1.232,6.3571,2024-11-23 22:17:55
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:17:56
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:17:57
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:17:58
Thermostat,5.144,0.168,1.680,8.6419,2024-11-23 22:17:59
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:18:00
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:18:01
Thermostat,5.144,0.123,1.232,6.3374,2024-11-23 22:18:02
Thermostat,5.176,0.097,0.966,5.0021,2024-11-23 22:18:03
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:04
Thermostat,5.176,0.079,0.790,4.0911,2024-11-23 22:18:05
Thermostat,5.176,0.080,0.803,4.1574,2024-11-23 22:18:06
Thermostat,5.144,0.168,1.680,8.6419,2024-11-23 22:18:07
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:18:08
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:18:09
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:18:10
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:18:11
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:18:12
Thermostat,5.176,0.079,0.790,4.0911,2024-11-23 22:18:13
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:18:14
Thermostat,5.168,0.097,0.966,4.9944,2024-11-23 22:18:15
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:18:16
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:17
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:18
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:18:19
Thermostat,5.176,0.079,0.787,4.0745,2024-11-23 22:18:20
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:18:21
Thermostat,5.144,0.171,1.709,8.7901,2024-11-23 22:18:22
Thermostat,5.144,0.156,1.558,8.0164,2024-11-23 22:18:23
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:18:24
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:25
