Device,Mode,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:46
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:47
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:58:48
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:49
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:50
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:51
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:58:52
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:58:53
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:54
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 22:58:55
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:56
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:58:57
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 22:58:58
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:58:59
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:00
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-02 22:59:01
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:02
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:03
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:04
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-02 22:59:05
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:06
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:07
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:08
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:09
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:10
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:11
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:12
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:13
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-02 22:59:14
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:15
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 22:59:16
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:17
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:18
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:19
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:20
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:59:21
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:22
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:23
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:24
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:25
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:59:26
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-02 22:59:27
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:28
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:29
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:30
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:31
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:32
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:33
Thermostat,Connecting,5.048,0.132,1.322,6.6714,2024-11-02 22:59:34
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:59:35
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:36
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 22:59:37
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:38
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:39
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:40
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:41
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 22:59:42
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:59:43
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 22:59:44
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:45
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:46
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 22:59:47
Thermostat,Connecting,5.056,0.133,1.334,6.7467,2024-11-02 22:59:48
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:49
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:50
Thermostat,Connecting,5.0,0.191,1.907,9.536,2024-11-02 22:59:51
Thermostat,Connecting,5.048,0.136,1.357,6.8491,2024-11-02 22:59:52
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:53
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:54
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:55
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:56
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:57
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:58
Thermostat,Connecting,5.056,0.133,1.328,6.7144,2024-11-02 22:59:59
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 23:00:00
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:01
Thermostat,Connecting,5.056,0.135,1.35,6.8276,2024-11-02 23:00:02
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:03
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 23:00:04
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:05
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:06
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 23:00:07
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 23:00:08
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 23:00:09
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 23:00:10
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:11
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 23:00:12
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:13
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:14
Thermostat,Connecting,5.056,0.136,1.363,6.8923,2024-11-02 23:00:15
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 23:00:16
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 23:00:17
Thermostat,Connecting,5.048,0.136,1.357,6.8491,2024-11-02 23:00:18
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:19
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:20
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-02 23:00:21
Thermostat,Connecting,4.992,0.134,1.344,6.7092,2024-11-02 23:00:22
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 23:00:23
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 23:00:24
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 23:00:25
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:26
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:27
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:28
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:29
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:30
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 23:00:31
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:32
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:33
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:34
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:35
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:36
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:37
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:00:38
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:00:39
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 23:00:40
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 23:00:41
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:42
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:00:43
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 23:00:44
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-02 23:00:45
Thermostat,Connecting,5.048,0.141,1.414,7.1399,2024-11-02 23:46:05
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:06
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:07
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:08
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:09
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:46:11
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:12
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:13
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:14
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 23:46:15
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:46:17
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:18
Thermostat,Connecting,5.048,0.135,1.354,6.833,2024-11-02 23:46:19
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:20
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:21
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:22
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:23
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:24
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-02 23:46:25
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:26
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:28
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:29
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:30
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:31
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:46:32
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:33
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:34
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:35
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:36
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:37
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:39
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:40
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:41
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:42
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:46:43
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:44
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:45
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:46
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 23:46:47
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:48
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:50
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:51
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:52
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:53
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:54
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:55
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:56
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:46:57
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:46:58
Thermostat,Connecting,5.048,0.135,1.354,6.833,2024-11-02 23:46:59
Thermostat,Connecting,5.048,0.136,1.36,6.8653,2024-11-02 23:47:01
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:02
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:03
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:04
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:05
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:47:06
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:07
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:08
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:09
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:10
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:47:12
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:13
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:14
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:47:15
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:16
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 23:47:17
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:18
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:47:19
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:20
Thermostat,Connecting,5.048,0.245,2.451,12.3737,2024-11-02 23:47:21
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:23
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:24
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:25
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:26
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:27
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:47:28
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:29
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:30
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:31
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:32
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-02 23:47:34
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:35
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:36
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:37
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:38
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:39
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:40
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:41
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:42
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:43
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:47:45
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:46
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:47
Thermostat,Connecting,5.048,0.136,1.357,6.8491,2024-11-02 23:47:48
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:49
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:47:50
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:51
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:52
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-02 23:47:53
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:54
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:47:56
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-02 23:47:57
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 23:47:58
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:47:59
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:48:00
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:48:01
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-02 23:48:02
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:48:03
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 23:48:04
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 23:48:05
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:04
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:05
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:06
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:07
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:08
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:09
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:10
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:11
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:12
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:13
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:15
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-03 00:03:16
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:17
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-03 00:03:18
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-03 00:03:19
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:03:20
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:21
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-03 00:03:22
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-03 00:03:23
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:24
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:26
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:27
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:28
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:29
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:03:30
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:31
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:32
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:33
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:34
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:35
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:37
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:38
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:39
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:40
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:41
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:42
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:43
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-03 00:03:44
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-03 00:03:45
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:46
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:48
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:49
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:50
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:03:51
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:03:52
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:53
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:54
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-03 00:03:55
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-03 00:03:56
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:03:57
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:03:59
Thermostat,Connecting,5.048,0.136,1.363,6.8814,2024-11-03 00:04:00
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:04:01
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:04:02
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:04:03
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:44
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:45
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:46
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:12:47
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-03 00:12:48
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:12:49
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:50
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:51
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:12:52
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:53
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:12:55
Thermostat,Connecting,5.048,0.135,1.354,6.833,2024-11-03 00:12:56
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:57
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:12:58
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:12:59
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:13:00
Thermostat,Connecting,5.048,0.136,1.357,6.8491,2024-11-03 00:13:01
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:13:02
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:13:03
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:13:04
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:14:01
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:02
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:03
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:04
Thermostat,Connecting,5.048,0.136,1.36,6.8653,2024-11-03 00:14:05
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:06
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:07
Thermostat,Connecting,5.048,0.136,1.357,6.8491,2024-11-03 00:14:08
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:14:09
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:10
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:12
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:13
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:14
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-03 00:14:15
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:16
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:14:38
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:39
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:40
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-03 00:14:41
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:42
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:43
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-03 00:14:44
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:45
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:46
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:14:47
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:49
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:50
Thermostat,Connecting,5.048,0.135,1.347,6.8007,2024-11-03 00:14:51
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:52
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:53
Thermostat,Connecting,5.04,0.134,1.338,6.7415,2024-11-03 00:14:54
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-03 00:14:55
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:56
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-03 00:14:57
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-03 00:14:58
